filename,combo_name,cipher,mode,dh_group,pfs,traffic_class,timestamp,notes,capture_stop,capture_seconds,config_version
aes128-dh14-transport-pfs-off__icmp_run1.pcap,aes128-dh14-transport-pfs-off,aes128,transport,dh14,off,icmp,2026-09-24T17:12:04.887438,run 1,time,30,v2-pfs-in-esp
aes128-dh14-transport-pfs-off__file_transfer_run1.pcap,aes128-dh14-transport-pfs-off,aes128,transport,dh14,off,file_transfer,2026-09-24T17:12:38.487782,run 1,time,30,v2-pfs-in-esp
aes128-dh14-transport-pfs-off__web_run1.pcap,aes128-dh14-transport-pfs-off,aes128,transport,dh14,off,web,2026-09-24T17:13:11.407007,run 1,time,30,v2-pfs-in-esp
aes128-dh14-transport-pfs-off__video_run1.pcap,aes128-dh14-transport-pfs-off,aes128,transport,dh14,off,video,2026-09-24T17:13:44.176113,run 1,time,30,v2-pfs-in-esp
aes128-dh14-transport-pfs-off__voip_run1.pcap,aes128-dh14-transport-pfs-off,aes128,transport,dh14,off,voip,2026-09-24T17:14:17.371016,run 1,time,30,v2-pfs-in-esp
aes128-dh14-transport-pfs-on__icmp_run1.pcap,aes128-dh14-transport-pfs-on,aes128,transport,dh14,on,icmp,2026-09-24T17:15:13.818358,run 1,time,30,v2-pfs-in-esp
aes128-dh14-transport-pfs-on__file_transfer_run1.pcap,aes128-dh14-transport-pfs-on,aes128,transport,dh14,on,file_transfer,2026-09-24T17:15:47.343637,run 1,time,30,v2-pfs-in-esp
aes128-dh14-transport-pfs-on__web_run1.pcap,aes128-dh14-transport-pfs-on,aes128,transport,dh14,on,web,2026-09-24T17:16:20.253827,run 1,time,30,v2-pfs-in-esp
aes128-dh14-transport-pfs-on__video_run1.pcap,aes128-dh14-transport-pfs-on,aes128,transport,dh14,on,video,2026-09-24T17:16:53.019979,run 1,time,30,v2-pfs-in-esp
aes128-dh14-transport-pfs-on__voip_run1.pcap,aes128-dh14-transport-pfs-on,aes128,transport,dh14,on,voip,2026-09-24T17:17:26.157205,run 1,time,30,v2-pfs-in-esp
