file,combo,traffic,cipher,true_family,true_mode,n_packets,distinct_sizes,rule_family,rule_conf,rule_leaning,icv_candidates,min_len,p05_len,p25_len,p50_len,p75_len,p95_len,max_len,mean_len,std_len,frac_res0,frac_res4,frac_res8,frac_res12,multi_size
aes128-dh14-transport-pfs-off__file_transfer_run1.pcap,aes128-dh14-transport-pfs-off,file_transfer,aes128,CBC-like,transport,5000,18,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,1480.0,1480.0,1480.0,1480.0,1480.0,1258.9024,499.2862730681067,0.0,0.0,1.0,0.0,1.0
aes128-dh14-transport-pfs-off__icmp_run1.pcap,aes128-dh14-transport-pfs-off,icmp,aes128,CBC-like,transport,18,1,undetermined,0.0,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128-dh14-transport-pfs-off__video_run1.pcap,aes128-dh14-transport-pfs-off,video,aes128,CBC-like,transport,500,7,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,88.0,1480.0,1480.0,1480.0,1480.0,851.552,688.0023657633744,0.0,0.0,1.0,0.0,1.0
aes128-dh14-transport-pfs-off__voip_run1.pcap,aes128-dh14-transport-pfs-off,voip,aes128,CBC-like,transport,30,4,CBC-like (16-byte block aligned),0.985,,16;32,360.0,360.0,360.0,408.0,520.0,568.0,568.0,437.3333333333333,79.15105109149775,0.0,0.0,1.0,0.0,1.0
aes128-dh14-transport-pfs-off__web_run1.pcap,aes128-dh14-transport-pfs-off,web,aes128,CBC-like,transport,300,3,CBC-like (16-byte block aligned),0.941,,16;32,88.0,88.0,88.0,88.0,88.0,936.0,936.0,179.2,252.98727240713114,0.0,0.0,1.0,0.0,1.0
aes128-dh14-transport-pfs-on__file_transfer_run1.pcap,aes128-dh14-transport-pfs-on,file_transfer,aes128,CBC-like,transport,5000,18,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,1480.0,1480.0,1480.0,1480.0,1480.0,1266.9824,491.77817569534335,0.0,0.0,1.0,0.0,1.0
aes128-dh14-transport-pfs-on__icmp_run1.pcap,aes128-dh14-transport-pfs-on,icmp,aes128,CBC-like,transport,18,1,undetermined,0.0,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128-dh14-transport-pfs-on__video_run1.pcap,aes128-dh14-transport-pfs-on,video,aes128,CBC-like,transport,500,7,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,88.0,1480.0,1480.0,1480.0,1480.0,834.048,689.1587666829756,0.0,0.0,1.0,0.0,1.0
aes128-dh14-transport-pfs-on__voip_run1.pcap,aes128-dh14-transport-pfs-on,voip,aes128,CBC-like,transport,30,4,CBC-like (16-byte block aligned),0.985,,16;32,360.0,360.0,360.0,408.0,520.0,568.0,568.0,437.3333333333333,79.15105109149775,0.0,0.0,1.0,0.0,1.0
aes128-dh14-transport-pfs-on__web_run1.pcap,aes128-dh14-transport-pfs-on,web,aes128,CBC-like,transport,300,3,CBC-like (16-byte block aligned),0.941,,16;32,88.0,88.0,88.0,88.0,88.0,936.0,936.0,179.2,252.98727240713114,0.0,0.0,1.0,0.0,1.0
aes128-dh14-tunnel-pfs-off__file_transfer_run1.pcap,aes128-dh14-tunnel-pfs-off,file_transfer,aes128,CBC-like,tunnel,3747,12,CBC-like (16-byte block aligned),1.0,,16;32,104.0,104.0,104.0,1480.0,1480.0,1480.0,1480.0,1002.4168668267947,645.4818605974087,0.0,0.0,1.0,0.0,1.0
aes128-dh14-tunnel-pfs-off__icmp_run1.pcap,aes128-dh14-tunnel-pfs-off,icmp,aes128,CBC-like,tunnel,12,1,undetermined,0.0,,,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128-dh14-tunnel-pfs-off__video_run1.pcap,aes128-dh14-tunnel-pfs-off,video,aes128,CBC-like,tunnel,327,4,CBC-like (16-byte block aligned),0.985,,16;32,104.0,104.0,104.0,216.0,1480.0,1480.0,1480.0,766.8501529051988,682.5592773879017,0.0,0.0,1.0,0.0,1.0
aes128-dh14-tunnel-pfs-off__voip_run1.pcap,aes128-dh14-tunnel-pfs-off,voip,aes128,CBC-like,tunnel,27,4,CBC-like (16-byte block aligned),0.985,,16;32,376.0,376.0,376.0,440.0,536.0,584.0,584.0,463.1111111111111,79.86160869410206,0.0,0.0,1.0,0.0,1.0
aes128-dh14-tunnel-pfs-off__web_run1.pcap,aes128-dh14-tunnel-pfs-off,web,aes128,CBC-like,tunnel,215,3,CBC-like (16-byte block aligned),0.941,,16;32,104.0,104.0,104.0,104.0,104.0,968.0,968.0,194.93953488372094,255.07389001468874,0.0,0.0,1.0,0.0,1.0
aes128-dh14-tunnel-pfs-on__file_transfer_run1.pcap,aes128-dh14-tunnel-pfs-on,file_transfer,aes128,CBC-like,tunnel,3748,12,CBC-like (16-byte block aligned),1.0,,16;32,104.0,104.0,104.0,1480.0,1480.0,1480.0,1480.0,1002.9114194236927,645.3230025646644,0.0,0.0,1.0,0.0,1.0
aes128-dh14-tunnel-pfs-on__icmp_run1.pcap,aes128-dh14-tunnel-pfs-on,icmp,aes128,CBC-like,tunnel,12,1,undetermined,0.0,,,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128-dh14-tunnel-pfs-on__video_run1.pcap,aes128-dh14-tunnel-pfs-on,video,aes128,CBC-like,tunnel,327,4,CBC-like (16-byte block aligned),0.985,,16;32,104.0,104.0,104.0,216.0,1480.0,1480.0,1480.0,762.6422018348624,682.3912379596338,0.0,0.0,1.0,0.0,1.0
aes128-dh14-tunnel-pfs-on__voip_run1.pcap,aes128-dh14-tunnel-pfs-on,voip,aes128,CBC-like,tunnel,27,4,CBC-like (16-byte block aligned),0.985,,16;32,376.0,376.0,376.0,440.0,536.0,584.0,584.0,463.1111111111111,79.86160869410206,0.0,0.0,1.0,0.0,1.0
aes128-dh14-tunnel-pfs-on__web_run1.pcap,aes128-dh14-tunnel-pfs-on,web,aes128,CBC-like,tunnel,215,3,CBC-like (16-byte block aligned),0.941,,16;32,104.0,104.0,104.0,104.0,104.0,968.0,968.0,194.93953488372094,255.07389001468874,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-off__file_transfer_run1.pcap,aes128-dh19-transport-pfs-off,file_transfer,aes128,CBC-like,transport,5000,18,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,1480.0,1480.0,1480.0,1480.0,1480.0,1258.3808,500.1582235566661,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-off__icmp_run1.pcap,aes128-dh19-transport-pfs-off,icmp,aes128,CBC-like,transport,16,1,undetermined,0.0,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128-dh19-transport-pfs-off__video_run1.pcap,aes128-dh19-transport-pfs-off,video,aes128,CBC-like,transport,500,7,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,88.0,1480.0,1480.0,1480.0,1480.0,859.52,686.4331180821624,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-off__voip_run1.pcap,aes128-dh19-transport-pfs-off,voip,aes128,CBC-like,transport,30,4,CBC-like (16-byte block aligned),0.985,,16;32,360.0,360.0,360.0,408.0,520.0,568.0,568.0,437.3333333333333,79.15105109149775,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-off__web_run1.pcap,aes128-dh19-transport-pfs-off,web,aes128,CBC-like,transport,300,3,CBC-like (16-byte block aligned),0.941,,16;32,88.0,88.0,88.0,88.0,88.0,936.0,936.0,179.2,252.98727240713114,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-on__file_transfer_run1.pcap,aes128-dh19-transport-pfs-on,file_transfer,aes128,CBC-like,transport,5000,17,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,1480.0,1480.0,1480.0,1480.0,1480.0,1277.5296,481.7698997694231,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-on__icmp_run1.pcap,aes128-dh19-transport-pfs-on,icmp,aes128,CBC-like,transport,18,1,undetermined,0.0,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0
aes128-dh19-transport-pfs-on__video_run1.pcap,aes128-dh19-transport-pfs-on,video,aes128,CBC-like,transport,500,7,CBC-like (16-byte block aligned),1.0,,16;32,88.0,88.0,88.0,1480.0,1480.0,1480.0,1480.0,837.216,688.5534005028223,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-on__voip_run1.pcap,aes128-dh19-transport-pfs-on,voip,aes128,CBC-like,transport,30,4,CBC-like (16-byte block aligned),0.985,,16;32,360.0,360.0,360.0,408.0,520.0,568.0,568.0,437.3333333333333,79.15105109149775,0.0,0.0,1.0,0.0,1.0
aes128-dh19-transport-pfs-on__web_run1.pcap,aes128-dh19-transport-pfs-on,web,aes128,CBC-like,transport,300,3,CBC-like (16-byte block aligned),0.941,,16;32,88.0,88.0,88.0,88.0,88.0,936.0,936.0,179.2,252.98727240713114,0.0,0.0,1.0,0.0,1.0
