label,packet_count,total_bytes,duration_sec,bytes_per_sec,mean_size,std_size,min_size,max_size,mean_inter_arrival,std_inter_arrival,fwd_packet_ratio,bwd_packet_ratio
icmp,7,448,3.044426202774048,147.15416638832872,64.0,0.0,64,64,0.5074043671290079,0.5557530347923615,1.0,0.0
web_browsing,112,48315,19.655970811843872,2458.03173307967,431.38392857142856,539.6480375430517,54,1354,0.1770808181247195,0.9546689136229184,0.5803571428571429,0.4196428571428571
web_browsing,5,295,10.127117156982422,29.12971139043297,59.0,6.4031242374328485,54,66,2.531779289245605,4.985649384185573,0.6,0.4
web_browsing,30,3554,9.952803134918211,357.08533081813084,118.46666666666668,58.37201344842397,75,315,0.343200108100628,0.748585998975308,0.5,0.5
web_browsing,38,2508,4.309115886688232,582.0219427720059,66.0,0.0,66,66,0.1164625915321143,0.3614130029086377,0.2631578947368421,0.7368421052631579
web_browsing,4,573,0.3888649940490722,1473.5191101508383,143.25,114.2843675515889,54,293,0.129621664683024,0.1790325230857985,0.5,0.5
web_browsing,2,112,3.0994415283203125e-05,3613554.215384616,56.0,2.8284271247461903,54,58,3.0994415283203125e-05,0.0,0.5,0.5
video_streaming,46,11310,4.476193904876709,2526.700192249942,245.8695652173913,385.8605740532397,54,1354,0.0994709756639268,0.2843885988680914,0.6304347826086957,0.3695652173913043
video_streaming,19,1590,26.37787413597107,60.27779159927613,83.6842105263158,20.941857690013364,54,107,1.4654374519983928,4.138564259160869,0.5263157894736842,0.4736842105263157
video_streaming,8,458,10.460773944854736,43.78261134543234,57.25,5.4182232195751086,54,66,1.4943962778363908,3.753144168726104,0.5,0.5
file_transfer,53,7303,21.837812900543213,334.4199363397943,137.7924528301887,69.60668582238071,69,296,0.4199579403950618,1.3035239945269577,0.4528301886792453,0.5471698113207547
file_transfer,235,81508,8.55738615989685,9524.871085282715,346.84255319148934,451.9872699519109,54,1354,0.0365700263243455,0.0729560577618136,0.4765957446808511,0.5234042553191489
file_transfer,10571,11076678,21.517130136489868,514784.1710180297,1047.8363447166778,532.7372809272144,54,1354,0.0020356792938968,0.0295488117512554,0.2214549238482641,0.7785450761517358
file_transfer,14,1097,12.75639796257019,85.99606277718964,78.35714285714286,23.027098226812097,54,107,0.9812613817361684,2.66121927684406,0.6428571428571429,0.3571428571428571
file_transfer,4,229,0.4625699520111084,495.0602584633528,57.25,5.852349955359813,54,66,0.1541899840037028,0.2639087319998103,0.5,0.5
file_transfer,8,1830,3.613870859146118,506.3822342651145,228.75,168.47869725449397,76,499,0.5162672655923026,0.9851970225060168,0.75,0.25
file_transfer,5,1453,0.0052630901336669,276073.55433748587,290.6,102.11904817417758,208,469,0.0013157725334167,0.002621539343077,1.0,0.0
file_transfer,3,775,2.1457672119140625e-06,361176177.7777778,258.3333333333333,4.163331998932265,255,263,1.0728836059570312e-06,1.6858739404357617e-07,1.0,0.0
icmp,19,1216,9.101662874221802,133.60196008182393,64.0,0.0,64,64,0.5056479374567667,0.5202171126711502,1.0,0.0
icmp,19,1216,9.101662874221802,133.60196008182393,64.0,0.0,64,64,0.5056479374567667,0.5202171126711502,1.0,0.0
voip,100,6000,2.1803231239318848,2751.885688016693,60.0,0.0,60,60,0.0220234658983018,0.0038847411830356,1.0,0.0
voip,150,13152,0.1179959774017334,111461.4268181552,87.68,12.254745690805205,68,108,0.000791919311421,0.0009948134114408,1.0,0.0
voip,200,17279,0.1739950180053711,99307.4410870006,86.395,11.703582537885804,68,108,0.0008743468241475,0.0027992439756799,1.0,0.0
voip,120,10610,0.0509951114654541,208059.15890952785,88.41666666666667,12.237552985839631,68,108,0.0004285303484491,0.00053006466483,1.0,0.0
icmp,5,140,0.0080029964447021,17493.447731402866,28.0,0.0,28,28,0.0020007491111755,0.000819456584729,1.0,0.0
icmp,5,140,0.0080029964447021,17493.447731402866,28.0,0.0,28,28,0.0020007491111755,0.0008181934285071,1.0,0.0
icmp,5,140,0.0079989433288574,17502.31177347243,28.0,0.0,28,28,0.0019997358322143,0.0014163603401924,1.0,0.0
icmp,5,140,0.0079989433288574,17502.31177347243,28.0,0.0,28,28,0.0019997358322143,0.0008201366590375,1.0,0.0
icmp,5,140,0.0079989433288574,17502.31177347243,28.0,0.0,28,28,0.0019997358322143,0.0008201366590375,1.0,0.0
icmp,5,140,0.0090019702911376,15552.150859443282,28.0,0.0,28,28,0.0022504925727844,0.001262154006078,1.0,0.0
icmp,5,140,0.0090019702911376,15552.150859443282,28.0,0.0,28,28,0.0022504925727844,0.001262154006078,1.0,0.0
icmp,5,140,0.0100030899047851,13995.675469539518,28.0,0.0,28,28,0.0025007724761962,0.0017374351607495,1.0,0.0
icmp,5,140,0.0090069770812988,15543.50574408386,28.0,0.0,28,28,0.0022517442703247,0.0012621937748513,1.0,0.0
icmp,5,140,0.0100049972534179,13993.00733962444,28.0,0.0,28,28,0.0025012493133544,0.0017349539419858,1.0,0.0
video_streaming,500,571822,0.2289919853210449,2497126.6972436183,1143.644,169.92519061283886,840,1439,0.0004589017741904,0.0005524102510204,1.0,0.0
video_streaming,400,492551,0.1210381984710693,4069384.758049997,1231.3775,174.37951580555972,940,1539,0.0003033538808798,0.0004713368394983,1.0,0.0
video_streaming,600,595161,0.2810029983520508,2117988.076605363,991.935,140.53489793486386,742,1240,0.0004691201975827225,0.0006225513367082247,1.0,0.0
