label,packet_count,total_bytes,duration_sec,bytes_per_sec,mean_size,std_size,min_size,max_size,mean_inter_arrival,std_inter_arrival,fwd_packet_ratio,bwd_packet_ratio
file_transfer,5000,6655088,0.888498067855835,7490267.273242776,1331.0176,460.84062940172873,122,1514,0.00017773516060328766,0.0027071788820750998,0.8832,0.1168
icmp,20,3024,8.614665985107422,351.0292802097877,151.2,8.618218157515294,126,154,0.4534034729003906,0.5036596196524877,0.5,0.5
video_streaming,500,434072,2.2935869693756104,189254.65037768707,868.144,689.7616527026406,122,1514,0.004596366672095412,0.037428376794618454,0.414,0.586
voip,30,14140,0.4046790599822998,34941.26926315008,471.3333333333333,80.50415852755611,394,602,0.013954450344217235,0.03121614866708619,0.5,0.5
web_browsing,300,63960,20.962976932525635,3051.093373134483,213.2,253.4099749114375,122,970,0.07011029074423289,0.22108685340610007,0.6,0.4
file_transfer,5000,6336336,1.4096240997314453,4495053.682188867,1267.2672,525.3559376045876,122,1514,0.00028198121618952694,0.0056659882087891885,0.834,0.166
icmp,20,3024,9.86618685722351,306.5013914454685,151.2,8.618218157515294,126,154,0.5192729924854479,0.5824142768602645,0.5,0.5
video_streaming,500,431304,2.2615151405334473,190714.6197121032,862.608,690.0949706184982,122,1514,0.004532094470006908,0.03711055370032439,0.42,0.58
voip,30,14140,0.4082460403442383,34635.97586415528,471.3333333333333,80.50415852755611,394,602,0.0140774496670427,0.03168093563731281,0.5,0.5
web_browsing,300,63960,19.48086714744568,3283.221404668652,213.2,253.4099749114375,122,970,0.065153401830922,0.20935375173228643,0.6,0.4
file_transfer,4998,4333166,0.97878098487854,4427104.803775603,866.9799919967987,696.0883928282515,66,1514,0.00019587372120843306,0.005390154458443281,0.5510204081632653,0.4489795918367347
icmp,20,2880,5.487896919250488,524.79119822705,144.0,33.60451097538449,98,170,0.288836679960552,0.4574721803741468,0.65,0.35
video_streaming,500,492404,1.2994050979614258,378945.7196778041,984.808,647.4610774630853,66,1514,0.002604018232387627,0.028255371438121187,0.302,0.698
voip,40,18545,0.4017200469970703,46163.98942155667,463.625,93.43685307639868,339,618,0.010300514025565905,0.027931156242477474,0.325,0.675
web_browsing,300,73047,14.410748958587646,5068.924606896983,243.49,293.42103351617277,66,1002,0.048196484811329925,0.18147859438998892,0.43,0.57
file_transfer,5000,4119038,0.9737739562988281,4229973.469054214,823.8076,698.6456745289042,66,1514,0.00019479375000976758,0.0054448377999386415,0.52,0.48
icmp,20,2880,5.3103790283203125,542.3341694897722,144.0,33.60451097538449,98,170,0.27949363306949015,0.4507176799065551,0.65,0.35
video_streaming,500,485648,1.3057029247283936,371943.7176730092,971.296,650.8837528341039,66,1514,0.0026166391277122115,0.02822472343897921,0.312,0.688
voip,40,18545,0.40091896057128906,46256.23086913705,463.625,93.43685307639868,339,618,0.010279973347981771,0.02800141917349783,0.325,0.675
web_browsing,300,73047,12.857609033584595,5681.227342439663,243.49,293.42103351617277,66,1002,0.043002036901620716,0.16387855069929666,0.43,0.57
file_transfer,5000,6755184,1.0185301303863525,6632286.859729519,1351.0368,436.41539010936,122,1514,0.00020374677543235698,0.005371485446045486,0.899,0.101
icmp,20,3024,8.19593596458435,368.9633512349385,151.2,8.618218157515294,126,154,0.4313650507675974,0.5121685936419004,0.5,0.5
